// 2012 HSK/Level 1
爱	ai4
起飞	qi3fei1
起来	qi3lai5
清楚	qing1chu5
请假	qing3jia4
秋	qiu1
裙子	qun2zi5
然后	ran2hou4
热情	re4qing2
认为	ren4wei2
认真	ren4zhen1
容易	rong2yi4
如果	ru2guo3
伞	san3
上网	shang4wang3
生气	sheng1qi4
声音	sheng1yin1
世界	shi4jie4
试	shi4
瘦	shou4
叔叔	shu1shu5
舒服	shu1fu5
树	shu4
数学	shu4xue2
刷牙	shua1ya2
双	shuang1
水平	shui3ping2
司机	si1ji1
太阳	tai4yang5
特别	te4bie2
疼	teng2
提高	ti2gao1
体育	ti3yu4
甜	tian2
条	tiao2
同事	tong2shi4
同意	tong2yi4
头发	tou2fa5
突然	tu1ran2
图书馆	tu2shu1guan3
腿	tui3
完成	wan2cheng2
碗	wan3
万	wan4
忘记	wang4ji4
为	wei4
为了	wei4le5
位	wei4
文化	wen2hua4
西	xi1
习惯	xi2guan4
洗手间	xi3shou3jian1
洗澡	xi3zao3
夏	xia4
先	xian1
相信	xiang1xin4
香蕉	xiang1jiao1
向	xiang4
像	xiang4
小心	xiao3xin1
校长	xiao4zhang3
新闻	xin1wen2
新鲜	xin1xian1
信用卡	xin4yong4 ka3
行李箱	xing2li3xiang1
熊猫	xiong2mao1
需要	xu1yao4
选择	xuan3ze2
要求	yao1qiu2
爷爷	ye2ye5
一般	yi4ban1
一边	yi1bian1
一定	yi2ding4
一共	yi2gong4
一会儿	yi2hui4r5
一样	yi2yang4
一直	yi4zhi2
以前	yi3qian2
音乐	yin1yue4
银行	yin2hang2
饮料	yin3liao4
应该	ying1gai1
影响	ying3xiang3
用	yong4
游戏	you2xi4
有名	you3ming2
又	you4
遇到	yu4dao4
元	yuan2
愿意	yuan4yi4
月亮	yue4liang5
越	yue4
站	zhan4
张	zhang1
长	zhang3
着急	zhao2ji2
照顾	zhao4gu5
照片	zhao4pian4
照相机	zhao4xiang4ji1
只	zhi3
只有…才…	zhi3you3…cai2…	only if... then...
中间	zhong1jian1
中文	Zhong1wen2
终于	zhong1yu2
种	zhong3
重要	zhong4yao4
周末	zhou1mo4
主要	zhu3yao4
注意	zhu4yi4
自己	zi4ji3
自行车	zi4xing2che1
总是	zong3shi4
嘴	zui3
最后	zui4hou4
最近	zui4jin4
作业	zuo4ye4

// Example Sentences
这些小动物真可爱!	zhe4 xie1xiao3 dong4wu4 zhen1 ke3ai4	These little animals are really adorable! 
这小东西真可爱。	zhe4 xiao3dong1xi5 zhen1 ke3ai4。	What a cute little thing! (referring to a baby or kitten) 
我和爱人结婚十年了。	wo3 he2 ai4ren5 jie2hun1 shi2 nian2 le5。	My husband (or wife) and I have been married for ten years. 
水果人人都爱吃。	shui3guo3 ren2ren2 dou1 ai4 chi1。	Everybody loves to eat fruit. 
我爱爸爸妈妈, 爸爸妈妈也爱我。	wo3 ai4 ba4ba5 ma1ma5, ba4ba5 ma1ma5 ye3 ai4 wo3。	I love my mom and dad, and they love me too. 
我想每个人都爱自己的妈妈。	wo3 xiang3 mei3 ge4ren2 dou1 ai4 zi4ji3 de5 ma1ma5。	I think everyone loves their mom. 
她脸长得很可爱。	ta1 lian3 zhang3 de5 hen3 ke3ai4。	She has a lovely face. 
你不知道我多么地爱她。	ni3 bu4zhi1dao4 wo3 duo1me5 di4 ai4 ta1。	You don't know how much I loved her! 
我们热爱我们的国家。	wo3men5 re4ai4 wo3men5 de5 guo2jia1。	We love our country dearly. 
我在那里住了八个月。	wo3 zai4 na4li5 zhu4 le5 ba1 ge4 yue4。	I stayed there for eight months. 
八八六十四。	ba1 ba1 liu4shi2si4。	Eight times eight is sixty-four. 
九九八十一。	jiu3jiu3 ba1shi2yi1。	Nine times nine is eighty-one. 
四千五百八十	si4qian1 wu3bai3 ba1shi2	four thousand, five hundred and eighty, 4,580 
八块九角五分	ba1 kuai4 jiu3 jiao3 wu3 fen1	eight <py>yuan</py> nine <py>jiao</py> and five <py>fen</py> = eight dollars and ninety-five cents 
“我们明天什么时候出发?”“早上八点。”	“ wo3men5 ming2tian1 shen2me5 shi2hou5 chu1fa1”“ zao3shang5 ba1 dian3。”	“When do we set off tomorrow?” “Eight o'clock in the morning.” 
你可以打电话九一八三一八七, 到我办公室找我。	ni3 ke3yi3 da3 dian4hua4 Jiu3-Yi1ba1 san1 yi1 ba1 qi1, dao4 wo3 ban4gong1shi4 zhao3 wo3。	You can reach me at my office on 918-3187. 
我爸爸工作很努力。	wo3 ba4ba5 gong1zuo4 hen3 nu3li4。	My father works hard. 
我为爸爸的身体担心。	wo3 wei2 ba4ba5 de5 shen1ti3 dan1xin1。	I'm worried about daddy's health. 
这孩子喜欢读书, 他爸爸妈妈看了真高兴。	zhe4 hai2zi5 xi3huan5 du2shu1, ta1 ba4ba5 ma1ma5 kan4 le5 zhen1 gao1xing4。	The child likes reading, much to the delight of his parents. 
我爸爸身体很好。	wo3 ba4ba5 shen1ti3 hen3 hao3。	My father is in good health. 
爸爸的办公室离家很近。	ba4ba5 de5 ban4gong1shi4 li2jia1 hen3 jin4。	Father's office is close to home. 
爸爸每星期五买很多啤酒。	ba4ba5 mei3 xing1qi1 wu3 mai3 hen3 duo1 pi2jiu3。	Daddy buys lots of beer every Friday. 
我们不等爸爸了, 吃起来吧。	wo3men5 bu4deng3 ba4ba5 le5, chi1 qi3lai5 ba5。	We're not going to wait for daddy any longer. Let's start eating. 
哥哥长得和爸爸一般高了。	ge1ge5 zhang3 de5 he2 ba4ba5 yi4ban1 gao1 le5。	My elder brother is now as tall as Daddy. 
“你爸爸在家吗?” “他不在家。”	“ ni3 ba4ba5 zai4jia1 ma5”“ ta1 bu4 zai4jia1。”	“Is your father home?” “No, he isn't.” 
这张桌子是我爸爸做的。	zhe4 zhang1 zhuo1zi5 shi4 wo3 ba4ba5 zuo4 de5。	This table was made by my father. 
我爸爸教我游泳。	wo3 ba4ba5 jiao4 wo3 you2yong3。	My father taught me to swim. 
这些杯子要洗一下。	zhe4xie1 bei1zi5 yao4 xi3 yi2xia4。	These cups/mugs/glasses need washing. 
桌子上有几本书和一个杯子。	zhuo1zi5 shang4 you3 ji3 ben3 shu1 he2 yi1 ge4 bei1zi5。	There are some books and a cup on the table. 
北京来的飞机什么时候到?	Bei3jing1 lai2 de5 fei1ji1 shen2me5 shi2hou5 dao4	When will the flight from Beijing arrive? 
从北京来的飞机什么时候到?	cong2 Bei3jing1 lai2 de5 fei1ji1 shen2me5 shi2hou5 dao4	When does the plane from Beijing arrive? 
我的中文老师是北京人。	wo3 de5 Zhong1wen2 lao3shi1 shi4 Bei3jing1ren2。	My Chinese teacher is from Beijing. 
你想去北京学习, 我也想去北京学习。	ni3 xiang3 qu4 Bei3jing1 xue2xi2, wo3 ye3 xiang3 qu4 Bei3jing1 xue2xi2。	You want to study in Beijing, so do I. 
我需要一本中文词典。	wo3 xu1yao4 yi1 ben3 Zhong1wen2 ci2dian3。	I need a Chinese dictionary. 
一本书	yi4 ben3 shu1	a book 
这本书才十块钱, 太便宜了。	zhe4 ben3 shu1 cai2 shi2 kuai4 qian2, tai4 bian4yi2 le5。	This book is only ten dollars. It's really cheap. 
这本书我有些地方不大明白。	zhe4 ben3 shu1 wo3 you3xie1 di4fang5 bu2da4 ming2bai5。	I'm not quite clear about parts of this book. 
这本书多少钱?	zhe4 ben3 shu1 duo1shao5 qian2	How much is this book? 
这本书在这个星期一定要还给图书馆。	zhe4 ben3 shu1 zai4 zhe4ge5 Xing1qi1yi1 ding4 yao4 huan2gei3 tu2shu1guan3。	This book must be returned to the library within this week. 
我上星期买了几本书。	wo3 shang4 xing1qi1 mai3 le5 ji3 ben3 shu1。	I bought several books last week. 
你上星期买了几本书?	ni3 shang4 xing1qi1 mai3 le5 ji3 ben3 shu1	How many books did you buy last week? 
两本书	liang3 ben3 shu1	two books 
你这本书在哪儿买的?	ni3 zhe4 ben3 shu1 zai4 na3r5 mai3 de5	Where did you buy this book? 
“这本书是你的吗?”“不是, 不是我的。”	“ zhe4 ben3 shu1 shi4 ni3 de5 ma5”“ bu2shi5, bu2shi5 wo3 de5。”	“Is this book yours?” “No.” 
这本书很有意思, 你看过没有?	zhe4 ben3 shu1 hen3 you3 yi4si5, ni3 kan4 guo4 mei2you3	This book is very interesting. Have you read it? 
这本书很有意思, 每个人都应该看。	zhe4 ben3 shu1 hen3 you3 yi4si5, mei3 ge4ren2 dou1 ying1gai1 kan4。	This book is very meaningful. Everybody should read it. 
这本书太旧了, 没有什么用了。	zhe4 ben3 shu1 tai4 jiu4 le5, mei2you3 shen2me5 yong4 le5。	This book is too outdated, and is not of much use. 
在桌子上有两本书。	zai4 zhuo1zi5 shang4 you3 liang3 ben3 shu1。	There are two books on the desk. 
他怎么也找不到那本书。	ta1 zen3me5 ye3 zhao3bu5dao4 na4 ben3 shu1。	No matter how hard he tried, he couldn't find the book. 
你去过日本吗?	ni3 qu4 guo4 Ri4ben3 ma5	Have you ever been to Japan? 
这本小说好看不好看?	zhe4 ben3 xiao3shuo1 hao3kan4 bu4 hao3kan4	Is this novel interesting? 
这是一本很有名的小说。	zhe4 shi4 yi1 ben3 hen3 you3ming2 de5 xiao3shuo1。	This is a well-known novel. 
你看, 我买了一本新词典。	ni3 kan4, wo3 mai3 le5 yi1 ben3 xin1 ci2dian3。	Look, I've bought a new dictionary. 
我本来不想去看电影, 他一定要我去, 我就去了。	wo3 ben3lai2 bu4xiang3 qu4 kan4 dian4ying3, ta1 yi2ding4 yao4 wo3 qu4, wo3 jiu4 qu4le5。	At first I did not want to go to the movie, but he insisted I should go, so I went with him. 
笔记本电脑	bi3ji4ben3 dian4nao3	notebook computer 
我不大喜欢吃日本菜。	wo3 bu2da4 xi3huan5 chi1 Ri4ben3 cai4。	I'm not very fond of Japanese food. 
这本词典对我们很有帮助。	zhe4 ben3 ci2dian3 dui4 wo3men5 hen3 you3 bang1zhu4。	This dictionary is very helpful to us. 
这本词典很有用。	zhe4 ben3 ci2dian3 hen3 you3yong4。	This dictionary is very useful. 
他昨天买到了这本书的最后一本。	ta1 zuo2tian1 mai3dao4 le5 zhe4 ben3 shu1 de5 zui4hou4 yi1 ben3。	He bought the last copy of the book yesterday. 
我上星期买了三本书。	wo3 shang4 xing1qi1 mai3 le5 san1 ben3 shu1。	I bought three books last week. 
我这两本书都要买。	wo3 zhe4 liang3 ben3 shu1 dou1 yao4 mai3。	I will buy both books. 
这本书还买得到吗？	zhe4 ben3 shu1 hai2 mai3 de2dao4 ma5？	Is that book still in print? 
这张照片比她本人好看。	zhe4 zhang1 zhao4pian4 bi3 ta1 ben3ren2 hao3kan4。	This photo flatters her. 
他借了一本关于中国的书。	ta1 jie4 le5 yi1 ben3 guan1yu2 Zhong1guo2 de5 shu1。	He borrowed a book on China. 
她从图书馆借了几本关于中国的书。	ta1 cong2 tu2shu1guan3 jie4 le5 ji3 ben3 guan1yu2 Zhong1guo2 de5 shu1。	She borrowed several books about China from the library. 
没有多少东西比一本好词典更有用。	mei2you3 duo1shao3 dong1xi5 bi3 yi1 ben3 hao3 ci2dian3 geng4 you3yong4。	Few things are more useful than a good dictionary. 
这是一本最新的词典。	zhe4 shi4 yi1 ben3 zui4xin1 de5 ci2dian3。	This is an up-to-date dictionary. 
我想知道谁借走了我的笔记本电脑。	wo3 xiang3 zhi1dao5 shui2 jie4 zou3 le5 wo3 de5 bi3ji4ben3 dian4nao3。	I would like to know who borrowed my laptop computer. 
不, 我不要这个, 我要那个。	bu4, wo3 bu2yao4 zhe4ge5, wo3 yao4 na4ge5。	No, I don't want this one; I want that one. 
对不起, 这不是您的, 是我的。	dui4bu5qi3, zhe4 bu2shi5 nin2 de5, shi4 wo3 de5。	Sorry, that's not yours, that's mine. 
对不起, 我一会儿就回来。	dui4bu5qi3, wo3 yi1hui4r5 jiu4 hui2lai5。	Excuse me, I'll be back in a little while. 
对不起, 我在地图上找不到这个国家。	dui4bu5qi3, wo3 zai4 di4tu2 shang4 zhao3bu5dao4 zhe4ge5 guo2jia1。	Sorry, I can't locate this country on the map. 
对不起, 我迟到了。	dui4bu5qi3, wo3 chi2dao4 le5。	I'm sorry I'm late. 
对不起, 那是我的过错。	dui4bu5qi3, na4shi5 wo3 de5 guo4cuo4。	I'm sorry, that was my fault. 
对不起, 我不是这个意思。	dui4bu5qi3, wo3 bu2shi5 zhe4ge5 yi4si5。	Excuse me, I didn't mean it. 
对不起, 能告诉我现在几点吗？	dui4bu5qi3, neng2 gao4su5 wo3 xian4zai4 ji3 dian3 ma5？	Excuse me, could you tell the time? 
您能不能借给我您的新中文词典？	nin2 neng2 bu4neng2 jie4gei3 wo3 nin2 de5 xin1 Zhong1wen2 ci2dian3？	Would you be so kind as to lend me your new Chinese dictionary? 
我太忙了, 不能跟你去看电影。	wo3 tai4 mang2 le5, bu4neng2 gen1 ni3 qu4 kan4 dian4ying3。	I can't go to the movies with you tonight, as I'm too busy. 
我不知道这个在中文里怎么说？	wo3 bu4zhi1dao4 zhe4ge5 zai4 Zhong1wen2 li3 zen3me5 shuo1？	I don't know how to say it in Chinese. 
你不知道, 我也不知道。	ni3 bu4zhi1dao4, wo3 ye3 bu4zhi1dao4。	Your guess is as good as mine. 
我也不知道。	wo3 ye3 bu4zhi1dao4。	I don't know either. 
我一点儿也不着急。	wo3 yi4dian3r5 ye3 bu4 zhao2ji2。	I'm not in any hurry. 
我从来不看那种电视游戏节目。	wo3 cong2lai2 bu4 kan4 na4 zhong3 dian4shi4 you2xi4 jie2mu4。	I never watch those TV game shows. 
这不是我要的。	zhe4 bu2shi5 wo3 yao4 de5。	This is not what I want. 
我还是不明白她为什么突然离去。	wo3 hai2shi5 bu4 ming2bai5 ta1 wei4shen2me5 tu1ran2 li2qu4。	Her sudden departure is still a puzzle to me. 
我还是不怎么会用筷子。	wo3 hai2shi5 bu4 zen3me5 hui4 yong4 kuai4zi5。	I'm still awkward with chopsticks. 
要是不很远, 我们可以走去。	yao4shi4 bu4 hen3 yuan3, wo3men5 ke3yi3 zou3qu4。	We can walk if it's not too far. 
她最近头发白了不少。	ta1 zui4jin4 tou2 fa1bai2 le5 bu4shao3。	She has turned quite gray recently. 
我今天不大舒服, 我们明天出去吧。	wo3 jin1tian1 bu2da4 shu1fu5, wo3men5 ming2tian1 chu1qu5 ba5。	I'm not too well today, let's go out tomorrow instead. 
我书读得不多。	wo3 shu1 du2 de5 bu4 duo1。	I'm not much of reader. 
等一会—我差不多好了。	deng3 yi1hui3— wo3 cha4bu5duo1 hao3le5。	Hang on half a minute—I'm nearly ready. 
我打电话的时候, 她不在。	wo3 da3 dian4hua4 de5 shi2hou5, ta1 bu4zai4。	She was not in when I called. 
等等, 我看看他在不在。	deng3deng5, wo3 kan4kan5 ta1 zai4 bu4zai4。	Hold on, I'll see if he's in. 
我下星期不在。（→我下星期要外出。）	wo3 xia4 xing1qi1 bu4zai4。（ wo3 xia4 xing1qi1 yao4 wai4chu1。）	I'll be away next week. 
我没有注意到他不在。	wo3 mei2you3 zhu4yi4dao4 ta1 bu4zai4。	I did not notice his absence. 
“我不喜欢新来的数学老师。”“我也不喜欢。”	“ wo3 bu4 xi3huan5 xin1lai2 de5 shu4xue2 lao3shi1。”“ wo3 ye3 bu4 xi3huan5。”	“I don't like the new math teacher.” “Neither do I.” 
很多老师不同意校长的决定。	hen3 duo1 lao3shi1 bu4 tong2yi4 xiao4zhang3 de5 jue2ding4。	Many teachers take issue with the principal's decision. 
你不可能是认真的！（→ 别开玩笑！）	ni3 bu4 ke3neng2 shi4 ren4zhen1 de5！（ bie2 kai1 wan2xiao4！）	You can't be serious! 
把药放在孩子拿不到的地方。	ba3 yao4 fang4 zai4 hai2zi5 na2bu5dao4 de5 di4fang5。	Keep the medicines out of the reach of children. 
对不起, 先生, 您的票呢?	dui4bu5qi3, xian1sheng5, nin2 de5 piao4 ne5	Excuse me, sir, where's your ticket? 
对不起, 我没有说明白。	dui4bu5qi3, wo3 mei2you3 shuo1 ming2bai5。	Sorry, I didn't make it very clear. 
“对不起。”“没关系。”	“ dui4bu5qi3。”“ mei2 guan1xi5。”	“I'm sorry.” “It's OK.” 
我不认识这个人。	wo3 bu4 ren4shi5 zhe4 ge4ren2。	I don't know this person. (or I've never met this person before.) 
明天你不要再迟到了。	ming2tian1 ni3 bu2yao4 zai4 chi2dao4 le5。	Please do not be late again tomorrow. 
他是在开玩笑, 你不要太认真。	ta1 shi4 zai4 kai1 wan2xiao4, ni3 bu2yao4 tai4 ren4zhen1。	He's joking. Don't take it too seriously. 
这个机会很难得, 不要错过。	zhe4ge5 ji1hui4 hen3 nan2de2, bu2yao4 cuo4guo4。	This is a rare opportunity. Don't miss it. 
请你不要把你的书放在我的桌子上。	qing3 ni3 bu2yao4 ba3 ni3 de5 shu1 fang4 zai4 wo3 de5 zhuo1zi5 shang4。	Please don't put your books on my desk. 
不舒服	bu4 shu1fu5	(of a person) not very well, be under the weather 
我今天不舒服, 不能去上班。	wo3 jin1tian1 bu4 shu1fu5, bu4neng2 qu4 shang4ban1。	I'm unwell today and won't be able to go to work. 
医生: 你什么地方不舒服?	yi1sheng1 ni3 shen2me5 di4fang5 bu4 shu1fu5	Doctor: What spot ails you? (→What's wrong with you?)  
如果你明天不舒服, 就不用来了。	ru2guo3 ni3 ming2tian1 bu4 shu1fu5, jiu4 bu4 yong4lai2 le5。	If you're not well tomorrow, you don't have to come. 
你不能只想到自己。	ni3 bu4neng2 zhi3 xiang3dao4 zi4ji3。	You mustn't think of yourself only. 
今天下午上体育课, 我不能穿皮鞋。	jin1tian1 xia4wu3 shang4 ti3yu4 ke4, wo3 bu4neng2 chuan1 pi2xie2。	I'm having a PE class this afternoon, so I can't wear leather shoes today. 
我能不能请教您一个问题?	wo3 neng2 bu4neng2 qing3jiao4 nin2 yi1 ge4 wen4ti2	Could I ask you a question, please? 
我会游泳, 但是今天不能去游泳, 因为我感冒了。	wo3 hui4 you2yong3, dan4shi4 jin1tian1 bu4neng2 qu4 you2yong3, yin1wei4 wo3 gan3mao4 le5。	I can swim, but I'm not able to today because I've got a cold. 
图书馆里不能吃东西。	tu2shu1guan3 li3 bu4neng2 chi1 dong1xi5。	No food in the library.  
这个问题不简单, 要好好想一想。	zhe4ge5 wen4ti2 bu4jian3dan1, yao4 hao3hao1 xiang3yi1xiang3。	This question is not a simple one. It needs careful consideration. 
“你知道他的名字吗?”“不知道。”	“ ni3 zhi1dao5 ta1 de5 ming2zi5 ma5”“ bu4zhi1dao4。”	“Do you know his name?” “No.” 
你不知道图书馆在哪儿? 我带你去。	ni3 bu4zhi1dao4 tu2shu1guan3 zai4 na3r5 wo3 dai4 ni3 qu4。	You don't know where the library is? I'll take you there. 
我就是不睡觉, 也要做完这个作业。	wo3 jiu4 shi4bu5 shui4jiao4, ye3 yao4 zuo4wan2 zhe4ge5 zuo4ye4。	Even if I don't sleep, I must finish this assignment. 
这些衣服很干净, 不用洗。	zhe4xie1 yi1fu5 hen3 gan1jing4, bu2yong4 xi3。	These clothes are clean. They don't need washing. 
